"Date(UTC)","UnixTimeStamp","Value (Wei)"
"8/29/2020","1598659200","3913627639"
"8/30/2020","1598745600","7164603393"
"8/31/2020","1598832000","7217276227"
"9/1/2020","1598918400","15235637553"
"9/2/2020","1599004800","5282834712"
"9/3/2020","1599091200","7281826145"
"9/4/2020","1599177600","6129652880"
"9/5/2020","1599264000","4455700549"
"9/6/2020","1599350400","3432407829"
"9/7/2020","1599436800","3417815902"
"9/8/2020","1599523200","1943883765"
"9/9/2020","1599609600","2649009009"
"9/10/2020","1599696000","2108157850"
"9/11/2020","1599782400","2255421184"
"9/12/2020","1599868800","2201236120"
"9/13/2020","1599955200","1835655902"
"9/14/2020","1600041600","3380065686"
"9/15/2020","1600128000","1693293520"
"9/16/2020","1600214400","1960747866"
"9/17/2020","1600300800","3550823086"
"9/18/2020","1600387200","5268110236"
"9/19/2020","1600473600","2237666703"
"9/20/2020","1600560000","2498884205"
"9/21/2020","1600646400","2248284676"
"9/22/2020","1600732800","2892916077"
"9/23/2020","1600819200","2199328559"
"9/24/2020","1600905600","3775663135"
"9/25/2020","1600992000","2022533874"
"9/26/2020","1601078400","2009293680"
"9/27/2020","1601164800","2005042963"
"9/28/2020","1601251200","1636264138"
"9/29/2020","1601337600","1647743877"
"9/30/2020","1601424000","2192897430"
"10/1/2020","1601510400","1890392879"
"10/2/2020","1601596800","1480104905"
"10/3/2020","1601683200","1821254403"
"10/4/2020","1601769600","1747189611"
"10/5/2020","1601856000","1149864634"
"10/6/2020","1601942400","1402018504"
"10/7/2020","1602028800","1488673441"
"10/8/2020","1602115200","1434439538"
"10/9/2020","1602201600","1885394223"
"10/10/2020","1602288000","1396049707"
"10/11/2020","1602374400","1363328930"
"10/12/2020","1602460800","1917696715"
"10/13/2020","1602547200","1691813773"
"10/14/2020","1602633600","1845197054"
"10/15/2020","1602720000","1352928840"
"10/16/2020","1602806400","1496018260"
"10/17/2020","1602892800","1182815708"
"10/18/2020","1602979200","1298119505"
"10/19/2020","1603065600","1277749613"
"10/20/2020","1603152000","2220588477"
"10/21/2020","1603238400","2465113928"
"10/22/2020","1603324800","1985546500"
"10/23/2020","1603411200","2661623378"
"10/24/2020","1603497600","1670606472"
